DateTime,Outdoor global irradiation(W m⁻²),Outdoor air temperature(°C),Outdoor vapor concentration(kg m⁻³),Outdoor CO2 concentration(kg{CO2} m⁻³{air}),Outdoor wind speed(m s⁻¹),Sky temperature(°C),Temperature of external soil layer (°C),Daily light sum (MJ m⁻² day⁻¹),Elevation (m),Outdoor vapor pressure (Pa)
726188.3333333334,94,7.0,0.006263397420547054,0.0007849232131991243,6.2,-4.575062054595946,6.049050970152907,6.717599999999999,35.0,4.843228055273517e-07
726188.375,158,7.0,0.006495375102789537,0.0007849232131991243,6.7,-4.347744933698607,6.051579969123414,6.717599999999999,35.0,5.022606872135499e-07
726188.4166666666,210,7.0,0.00672735278503202,0.0007849232131991243,7.2,-4.347744933698607,6.0541124823402495,6.717599999999999,35.0,5.201985688997482e-07
726188.4583333334,245,6.0,0.006738092721254449,0.0007877350463110682,7.2,-5.260499215095706,6.05664850850054,6.717599999999999,35.0,4.881924034432492e-07
726188.5,261,6.0,0.006738092721254449,0.0007877350463110682,7.7,-5.260499215095706,6.059188046299602,6.717599999999999,35.0,4.881924034432492e-07
726188.5416666666,256,6.0,0.0063033770618186775,0.0007877350463110682,7.7,-5.490151805736218,6.061731094430943,6.717599999999999,35.0,4.5669611935013643e-07
726188.5833333334,230,5.0,0.006309958147841858,0.0007905670975291559,8.2,-6.414724680562358,6.064277651586269,6.717599999999999,35.0,4.2812442825285857e-07
726188.625,185,4.0,0.005905727321336465,0.0007934195857035349,10.3,-7.584131510631607,6.066827716455474,6.717599999999999,35.0,3.75028120365376e-07
726188.6666666666,126,1.0,0.004825339985793043,0.0008021019083630665,7.2,-11.18830284301032,6.069381287726657,6.717599999999999,35.0,2.5036458041390537e-07
726188.7083333334,60,1.0,0.004825339985793043,0.0008021019083630665,7.2,-11.18830284301032,6.071938364086107,6.717599999999999,35.0,2.5036458041390537e-07
726188.75,8,1.0,0.004825339985793043,0.0008021019083630665,6.2,-11.18830284301032,6.07449894421831,6.717599999999999,35.0,2.5036458041390537e-07
726188.7916666666,0,2.0,0.005164487526719273,0.0007991867642294555,5.1,-9.970409963495001,6.07706302680595,6.717599999999999,35.0,2.8679496143697793e-07
726188.8333333334,0,1.0,0.005188537619132304,0.0008021019083630665,3.6,-10.943364102196256,6.079630610529912,6.717599999999999,35.0,2.6920922625151115e-07
726188.875,0,2.0,0.005164487526719273,0.0007991867642294555,4.4,-9.970409963495001,6.082201694069274,6.717599999999999,35.0,2.8679496143697793e-07
726188.9166666666,0,3.0,0.005167862837823508,0.0007962927328543715,5.1,-9.008128500723217,6.084776276101316,6.717599999999999,35.0,3.0697478517881887e-07
726188.9583333334,0,3.0,0.005167862837823508,0.0007962927328543715,5.1,-9.008128500723217,6.087354355301518,6.717599999999999,35.0,3.0697478517881887e-07
726189.0,0,3.0,0.005167862837823508,0.0007962927328543715,5.1,-9.008128500723217,6.089935930343569,19.3752,35.0,3.0697478517881887e-07
726189.0416666666,0,3.0,0.005524267171466509,0.0007962927328543715,3.6,-8.769193953872843,6.092520999899347,19.3752,35.0,3.281454600187374e-07
726189.0833333334,0,2.7,0.005414105325008673,0.0007971587390891234,3.1,-9.247713211163784,6.095109562638937,19.3752,35.0,3.1518856419663736e-07
726189.125,0,2.5,0.005341733776871169,0.0007977371238082158,2.5,-9.48795222826459,6.097701617230629,19.3752,35.0,3.06818491859853e-07
726189.1666666666,0,2.2,0.005234759930966547,0.0007986062762946602,2.0,-9.728849736734674,6.100297162340914,19.3752,35.0,2.946528122027192e-07
726189.2083333334,0,2.0,0.005164487526719273,0.0007991867642294555,1.5,-9.970409963495001,6.102896196634489,19.3752,35.0,2.8679496143697793e-07
726189.25,5,2.0,0.005164487526719273,0.0007991867642294555,1.5,-9.970409963495001,6.105498718774251,19.3752,35.0,2.8679496143697793e-07
